ReviewCount,Description,Price,Url,Rating
"HP 2022 New 15 Laptop, 15.6"" HD LED Display, Intel Dual-Core Processor, Intel UHD Graphics, 16GB DDR4 RAM, 1TB SSD, Ethernet Port, USB Type-C, Long Battery Life, Windows 11",$499.00,4.4 out of 5 stars,482,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06471733OX9JA7Y23MK&qualifier=1673620694&id=793284980042033&widgetName=sp_atf&url=%2FHP-Dual-Core-Processor-Graphics-Ethernet%2Fdp%2FB09SZPSTN1%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dlaptops%26qid%3D1673620694%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-1-spons%26psc%3D1%26smid%3DA2HR3WADFB8IU9
"2022 HP Pavilion 17.3 inch IPS FHD Laptop, Intel Core i5-1135G7 (Beats i7-1065G7), Intel Iris Xe Graphics, 16GB RAM, 1TB PCIe SSD, Backlit Keyboard, WiFi 5, Long Battery Life, Webcam, Windows 11",$799.00,4.2 out of 5 stars,62,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07287791MYMBEM6O0JCS&qualifier=1673620694&id=793284980042033&widgetName=sp_atf&url=%2FHP-Pavilion-i5-1135G7-i7-1065G7-Graphics%2Fdp%2FB09V3HRP8X%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dlaptops%26qid%3D1673620694%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-2-spons%26psc%3D1%26smid%3DAWC4R9IGPA4LI
"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",$389.00,4.4 out of 5 stars,"1,594",https://www.amazon.com/Lenovo-Ideapad-Touchscreen-i3-1005G1-Processor/dp/B08B6F1NNR/ref=sr_1_3?crid=3ORS3HPQDQZ22&keywords=laptops&qid=1673620694&sprefix=head%2Caps%2C528&sr=8-3
"Acer Aspire 5 A515-56-32DK Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 4GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S mode.",$323.00,4.3 out of 5 stars,"3,805",https://www.amazon.com/Acer-A515-56-32DK-Display-i3-1115G4-Processor/dp/B09R5VYRVN/ref=sr_1_4?crid=3ORS3HPQDQZ22&keywords=laptops&qid=1673620694&sprefix=head%2Caps%2C528&sr=8-4
"SGIN Laptop 15.6 Inch 12GB DDR4 512GB SSD, Windows 11 Laptops with Intel Celeron N5095, FHD 1920x1080, Dual Band WiFi, 2xUSB 3.0, Up to 2.9Ghz, Bluetooth 4.2, Supports 512GB TF Card Expansion, Gray",$489.99,4.6 out of 5 stars,318,https://www.amazon.com/SGIN-1920x1080-Bluetooth-Supports-Expansion/dp/B0BDQCF4V4/ref=sr_1_5?crid=3ORS3HPQDQZ22&keywords=laptops&qid=1673620694&sprefix=head%2Caps%2C528&sr=8-5
"Lenovo 11.6"" 300e Chromebook Touchscreen LCD 2 in 1- MediaTek M8173C Quad-core 2.1GHz 4GB LPDDR3 32GB Flash Memory Chrome OS Model 81H00000US (Renewed)",$89.00,4.0 out of 5 stars,616,https://www.amazon.com/Lenovo-11-6-300e-Chromebook-Touchscreen/dp/B07RJZMC49/ref=sr_1_6?crid=3ORS3HPQDQZ22&keywords=laptops&qid=1673620694&sprefix=head%2Caps%2C528&sr=8-6
"SGIN Laptop 15.6 Inch 12GB DDR4 512GB SSD, Windows 11 Laptops with Intel Celeron N5095, FHD 1920x1080, Dual Band WiFi, 2xUSB 3.0, Up to 2.9Ghz, Bluetooth 4.2, Supports 512GB TF Card Expansion, Gray",$489.99,4.6 out of 5 stars,318,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07989673VYWMIRREHAT8&qualifier=1673620694&id=793284980042033&widgetName=sp_mtf&url=%2FSGIN-1920x1080-Bluetooth-Supports-Expansion%2Fdp%2FB0BDQCF4V4%2Fref%3Dsr_1_7_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dlaptops%26qid%3D1673620694%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-7-spons%26psc%3D1
Gateway Newest Touchscreen 11.6 HD 2-in-1 Convertible Laptop in Black Intel N4020 4GB RAM 64GB SSD Mini-HDMI Webcam Windows 10 S (Renewed),$144.99,4.2 out of 5 stars,80,https://www.amazon.com/Gateway-Touchscreen-Convertible-Mini-HDMI-Windows/dp/B0B9KF4994/ref=sr_1_8?crid=3ORS3HPQDQZ22&keywords=laptops&qid=1673620694&sprefix=head%2Caps%2C528&sr=8-8
"Acer 2022 15inch HD IPS Chromebook, Intel Dual-Core Celeron Processor Up to 2.55GHz, 4GB RAM, 32GB Storage, Super-Fast WiFi Up to 1300 Mbps, Chrome OS-(Renewed) (Dale Silver)",$165.99,4.3 out of 5 stars,637,https://www.amazon.com/Acer-15inch-Chromebook-Dual-Core-Super-Fast/dp/B0B3L3YB4N/ref=sr_1_9?crid=3ORS3HPQDQZ22&keywords=laptops&qid=1673620694&sprefix=head%2Caps%2C528&sr=8-9
"Lenovo 15.6"" IdeaPad 1 Laptop, AMD Dual-core Processor, 15.6"" HD Anti-Glare Display, Wi-Fi 6 and Bluetooth 5.0, HDMI, Windows 11 Home in S Mode(20GB RAM | 1TB SSD)",$399.00,4.4 out of 5 stars,25,https://www.amazon.com/Lenovo-IdeaPad-Dual-core-Processor-Anti-Glare/dp/B0BMWBF3B1/ref=sr_1_10?crid=3ORS3HPQDQZ22&keywords=laptops&qid=1673620694&sprefix=head%2Caps%2C528&sr=8-10
"2022 Lenovo Ideapad 1i 14"" HD Laptop, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC Flash Memory, Intel HD Graphics 500, HD Webcam, Stereo Speakers, Cloud Grey, Windows 11S, 128GB USB Card",$189.00,4.1 out of 5 stars,19,https://www.amazon.com/Lenovo-Ideapad-Processor-Graphics-Speakers/dp/B0BKFZQ2LC/ref=sr_1_11?crid=3ORS3HPQDQZ22&keywords=laptops&qid=1673620694&sprefix=head%2Caps%2C528&sr=8-11
"HP 2023 Newest 17.3"" FHD Laptop, Intel Core i5-1235U (Up to 4.4GHz, 10 cores), Intel Iris Xe Graphics, 16GB RAM, 1TB PCIe SSD, Backlit Keyboard, Bluetooth5, Windows 11 Home, Silver + 3in1 Accessories",$759.90,5.0 out of 5 stars,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A052822325Z2SF6MKAIE2&qualifier=1673620694&id=793284980042033&widgetName=sp_mtf&url=%2FHP-i5-1235U-Graphics-Bluetooth5-Accessories%2Fdp%2FB0BR7XBSPM%2Fref%3Dsr_1_12_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dlaptops%26qid%3D1673620694%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-12-spons%26psc%3D1%26smid%3DAM0VWZ1WMK39K
"Lenovo Flex 5 Laptop, 14.0"" FHD Touch Display, AMD Ryzen 5 5500U, 16GB RAM, 512GB Storage, AMD Radeon Graphics, Windows 11 Home, Graphite Grey",$753.91,4.5 out of 5 stars,"1,272",https://www.amazon.com/Lenovo-Display-Storage-Graphics-Graphite/dp/B09YWM1CM1/ref=sr_1_13?crid=3ORS3HPQDQZ22&keywords=laptops&qid=1673620694&sprefix=head%2Caps%2C528&sr=8-13
