ReviewCount,Description,Price,Url,Rating
Wireless Bluetooth Headphones Wireless Earphones osdfono IPX7 Waterproof True Wireless Earbuds Sports Ear Buds in Ear with Microphone for iPhone Android Running Exercise Gym Outdoors Gaming,$19.79 ,4.3 out of 5 stars,"-1,054",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08853293E29PYNOXCUVH&qualifier=1673619314&id=626055620723221&widgetName=sp_atf&url=%2FBluetooth-osdfono-Earphones-Waterproof-Headphones%2Fdp%2FB09JZ32TCR%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619314%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-1-spons%26psc%3D1
occiam Wireless Earbuds Bluetooth Headphones 48H Play Back Earphones in Ear Waterproof with Microphone LED Display for Sports Running Workout Black,$29.99 ,4.3 out of 5 stars,"-43,045",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05795422GASV71JP6JXZ&qualifier=1673619314&id=626055620723221&widgetName=sp_atf&url=%2FBluetooth-Headphones-True-Waterproof-Microphone-Workout-Black%2Fdp%2FB08H1WNYTR%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619314%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-2-spons%26psc%3D1%26smid%3DA2BWKSTZ1VNU11
"yobola Wireless Earbuds, Bluetoth Earbuds Deep Bass HiFi Stereo, Bluetoth Headphones 4 Microphone Clear Call, IPX7 Waterproof Wireless Headphones 5.3 Touch Control, USB-C Fast Charging",$25.99 ,4.6 out of 5 stars,"-2,074",https://www.amazon.com/yobola-Wireless-Headphones-Microphone-Waterproof/dp/B0BHDGJS6P/ref=sr_1_5?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-5
"Sony ZX Series Wired On-Ear Headphones, White MDR-ZX110",$10.99 ,4.5 out of 5 stars,"-99,472",https://www.amazon.com/Sony-Wired-Headphones-MDRZX110-WHI/dp/B00NJ2M43M/ref=sr_1_6?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-6
"TOZO A3 Wireless Earbuds Bluetooth 5.3 Half in-Ear Lightweight Headsets with Digital Call Noise Reduction,Charging Case with Reset Button Hall Detection,Premium Sound with Long Endurance,White",$14.44 ,4.5 out of 5 stars,-609,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09031243EGELPJEK5H0&qualifier=1673619314&id=626055620723221&widgetName=sp_mtf&url=%2FTOZO-A3-Bluetooth-Lightweight-Reduction%2Fdp%2FB0BK1QWDD5%2Fref%3Dsr_1_7_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619314%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-7-spons%26psc%3D1%26smid%3DA3S1Z73YSTMCVX
"Philips H4205 On-Ear Wireless Headphones with 32mm Drivers and BASS Boost on-Demand, Blue",$34.20 ,3.9 out of 5 stars,-299,https://www.amazon.com/Philips-H4205-Bluetooth-Wireless-Headphones/dp/B08FKB4476/ref=sr_1_8?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-8
"Bluetooth Headphones V5.3 Wireless Earbuds 50 Hrs Battery Life with Wireless Charging Case & LED Power Display Deep Bass IPX7 Waterproof Earphones Microphone Stereo Headset for iPhone & Android, White",$25.49 ,4.7 out of 5 stars,"-1,638",https://www.amazon.com/Bluetooth-Headphones-Waterproof-Earphones-Microphone/dp/B0BLZ9PJVD/ref=sr_1_9?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-9
"Apple EarPods Headphones with 3.5mm Plug. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds",$16.99 ,4.6 out of 5 stars,"-60,768",https://www.amazon.com/Apple-EarPods-3-5mm-Headphone-Plug/dp/B06X16Z7DZ/ref=sr_1_11?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-11
"KVIDIO Bluetooth Headphones Over Ear, 55 Hours Playtime Wireless Headphones with Microphone,Foldable Lightweight Headset with Deep Bass,HiFi Stereo Sound for Travel Work Laptop PC Cellphone",$26.99 ,4.4 out of 5 stars,"-8,509",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06293763J50DD57AHL9R&qualifier=1673619314&id=626055620723221&widgetName=sp_mtf&url=%2FBluetooth-Headphones-KVIDIO-Microphone-Lightweight%2Fdp%2FB09BF64J55%2Fref%3Dsr_1_12_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619314%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-12-spons%26psc%3D1
JBL Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black,$49.95 ,4.6 out of 5 stars,"-23,030",https://www.amazon.com/JBL-Tune-510BT-Ear-Headphones/dp/B08WM3LMJF/ref=sr_1_13?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-13
